,phase,set_input_voltage,set_output_voltage,U_in,I_in,P_in,U_out,I_out,P_out,n
480,15.0,30.5,9.5,30.4414,0.06738302,2.051234,9.557002,0.1883479,1.800041,0.8775409
481,15.0,30.5,10.0,30.43957,0.0688996,2.097275,10.05775,0.1808493,1.818937,0.8672863
482,15.0,30.5,10.5,30.43831,0.07080182,2.155088,10.55211,0.174811,1.844625,0.8559396
483,15.0,30.5,11.0,30.43616,0.07298,2.221231,11.05146,0.1698586,1.877186,0.8451105
484,15.0,30.5,11.5,30.43451,0.07534181,2.292991,11.55279,0.165771,1.915117,0.8352048
485,15.0,30.5,12.0,30.43283,0.07782541,2.368448,12.06282,0.1623908,1.95889,0.8270778
486,15.0,31.0,8.0,30.93909,0.06479461,2.004686,8.05315,0.2217376,1.785686,0.8907561
487,15.0,31.0,8.5,30.93865,0.06595251,2.040481,8.554966,0.2127217,1.819827,0.8918615
488,15.0,31.0,9.0,30.93756,0.06693944,2.070943,9.050584,0.2032926,1.839916,0.8884439
489,15.0,31.0,9.5,30.9369,0.06798347,2.103198,9.55774,0.193789,1.852185,0.8806515
490,15.0,31.0,10.0,30.93527,0.06936253,2.145749,10.05825,0.1857956,1.868779,0.8709217
491,15.0,31.0,10.5,30.93367,0.0711597,2.201231,10.55256,0.1792828,1.891892,0.8594701
492,15.0,31.0,11.0,30.93255,0.07326923,2.266404,11.05188,0.1741547,1.924737,0.849247
493,15.0,31.0,11.5,30.93069,0.0755841,2.337868,11.55333,0.1698501,1.962334,0.8393691
494,15.0,31.0,12.0,30.92892,0.07805248,2.414079,12.0634,0.1663498,2.006745,0.8312672
495,15.0,31.5,8.0,31.43575,0.06540202,2.055961,8.053907,0.227307,1.83071,0.8904398
496,15.0,31.5,8.5,31.43467,0.06662036,2.094189,8.55573,0.2184644,1.869123,0.8925281
497,15.0,31.5,9.0,31.4342,0.06761846,2.125532,9.051108,0.2091191,1.892759,0.8904873
498,15.0,31.5,9.5,31.43435,0.06861944,2.157008,9.558634,0.1994409,1.906383,0.883809
499,15.0,31.5,10.0,31.43313,0.06986576,2.196099,10.0591,0.1908702,1.919983,0.8742695
500,15.0,31.5,10.5,31.43116,0.07154799,2.248836,10.55337,0.1839922,1.941737,0.8634408
501,15.0,31.5,11.0,31.42848,0.07357796,2.312443,11.05255,0.1784821,1.972683,0.8530729
502,15.0,31.5,11.5,31.42738,0.07583696,2.383357,11.5539,0.1739539,2.009845,0.8432833
503,15.0,31.5,12.0,31.42515,0.07828481,2.460112,12.06419,0.1702816,2.054309,0.8350468
504,15.0,32.0,8.0,31.92988,0.06597808,2.106672,8.055162,0.2326674,1.874174,0.8896372
505,15.0,32.0,8.5,31.92932,0.06728303,2.148301,8.556732,0.2242452,1.918806,0.8931738
506,15.0,32.0,9.0,31.92828,0.06829938,2.180681,9.052112,0.2149637,1.945875,0.8923246
507,15.0,32.0,9.5,31.9276,0.06927399,2.211752,9.559504,0.2051658,1.961284,0.8867556
508,15.0,32.0,10.0,31.92785,0.07041056,2.248058,10.05992,0.1961221,1.972972,0.8776338
509,15.0,32.0,10.5,31.92552,0.07195838,2.297309,10.55403,0.1887354,1.99192,0.8670666
510,15.0,32.0,11.0,31.92401,0.07390386,2.359307,11.05318,0.1828882,2.021495,0.8568172
511,15.0,32.0,11.5,31.92181,0.07610693,2.429471,11.55428,0.1781438,2.058322,0.8472307
512,15.0,32.0,12.0,31.92009,0.07852273,2.506453,12.06477,0.1743096,2.103006,0.8390368
513,15.0,32.5,8.0,32.44591,0.06654167,2.159005,8.055948,0.2381395,1.91844,0.8885759
514,15.0,32.5,8.5,32.44489,0.06795993,2.204952,8.557841,0.2301963,1.969983,0.8934355
515,15.0,32.5,9.0,32.44373,0.06901685,2.239164,9.052927,0.2210043,2.000736,0.8935191
516,15.0,32.5,9.5,32.44336,0.06997754,2.270306,9.560361,0.2111808,2.018965,0.8892917
517,15.0,32.5,10.0,32.44236,0.07101063,2.303752,10.0609,0.2017945,2.030235,0.8812731
518,15.0,32.5,10.5,32.44216,0.07242358,2.349578,10.55479,0.193836,2.045898,0.8707516
519,15.0,32.5,11.0,32.44057,0.07427301,2.409459,11.05394,0.1875943,2.073656,0.8606315
520,15.0,32.5,11.5,32.43917,0.07640868,2.478634,11.55519,0.1825975,2.10995,0.8512549
521,15.0,32.5,12.0,32.43781,0.07877278,2.555217,12.0655,0.1785356,2.154122,0.843029
522,15.0,33.0,8.0,32.94209,0.06703441,2.208253,8.056785,0.2431997,1.959407,0.8873109
523,15.0,33.0,8.5,32.94114,0.06859656,2.259649,8.55859,0.2358435,2.018488,0.8932751
524,15.0,33.0,9.0,32.94015,0.06970106,2.295964,9.054018,0.2269074,2.054424,0.8947982
525,15.0,33.0,9.5,32.9393,0.07066394,2.327621,9.561213,0.217056,2.075319,0.8916052
