,phase,set_input_voltage,set_output_voltage,U_in,I_in,P_in,U_out,I_out,P_out,n
756,25.0,25.0,8.0,24.94886,0.08717721,2.174972,8.055273,0.2440069,1.965542,0.9037092
757,25.0,25.0,8.5,24.94824,0.09157066,2.284527,8.557598,0.2398787,2.052786,0.8985606
758,25.0,25.0,9.0,24.94685,0.09604847,2.396107,9.053697,0.2363971,2.140268,0.893227
759,25.0,25.0,9.5,24.94628,0.1007186,2.512554,9.562109,0.2331877,2.229766,0.8874499
760,25.0,25.0,10.0,24.94584,0.1053761,2.628696,10.06377,0.2302333,2.317014,0.8814312
761,25.0,25.0,10.5,24.9451,0.1100182,2.744414,10.55841,0.2272974,2.399899,0.8744669
762,25.0,25.0,11.0,24.94432,0.1147288,2.861832,11.05793,0.2245663,2.48324,0.8677096
763,25.0,25.0,11.5,24.94367,0.1194947,2.980636,11.55953,0.222102,2.567396,0.8613584
764,25.0,25.0,12.0,24.94284,0.1243213,3.100926,12.07133,0.2198808,2.654254,0.8559553
765,25.0,25.5,8.0,25.49046,0.08747003,2.229651,8.05632,0.2508115,2.020617,0.9062482
766,25.0,25.5,8.5,25.48971,0.09182554,2.340607,8.558452,0.2464562,2.109284,0.9011697
767,25.0,25.5,9.0,25.48907,0.09626831,2.45379,9.054513,0.2427971,2.198409,0.8959239
768,25.0,25.5,9.5,25.48816,0.1009087,2.571976,9.56288,0.2394788,2.290107,0.8904074
769,25.0,25.5,10.0,25.48714,0.1055528,2.690239,10.06461,0.236416,2.379434,0.8844696
770,25.0,25.5,10.5,25.48685,0.1102052,2.808783,10.55939,0.2334983,2.4656,0.8778182
771,25.0,25.5,11.0,25.48663,0.1149091,2.928645,11.05896,0.2307471,2.551822,0.871332
772,25.0,25.5,11.5,25.48557,0.1196771,3.050039,11.5606,0.2282013,2.638143,0.8649541
773,25.0,25.5,12.0,25.48432,0.1245219,3.173356,12.07244,0.225933,2.727561,0.8595195
774,25.0,26.0,8.0,25.98714,0.08778509,2.281283,8.057334,0.2570975,2.071521,0.9080507
775,25.0,26.0,8.5,25.98649,0.09209316,2.393178,8.559709,0.2525496,2.161751,0.9032972
776,25.0,26.0,9.0,25.98556,0.09649906,2.507581,9.055776,0.24872,2.252353,0.8982171
777,25.0,26.0,9.5,25.98488,0.101111,2.627356,9.56402,0.2453281,2.346323,0.8930357
778,25.0,26.0,10.0,25.98434,0.1057453,2.74772,10.06584,0.2422257,2.438206,0.8873559
779,25.0,26.0,10.5,25.98304,0.1103409,2.866992,10.56036,0.2391905,2.525938,0.8810412
780,25.0,26.0,11.0,25.98275,0.1150565,2.989485,11.06005,0.2363822,2.614398,0.8745314
781,25.0,26.0,11.5,25.98176,0.1198168,3.11305,11.56157,0.2338141,2.703257,0.8683627
782,25.0,26.0,12.0,25.98067,0.1246532,3.238574,12.07348,0.231492,2.794914,0.8630077
783,25.0,26.5,8.0,26.48316,0.08808652,2.332809,8.058354,0.2634618,2.123069,0.910091
784,25.0,26.5,8.5,26.48229,0.09234785,2.445582,8.560635,0.2586249,2.213993,0.9053031
785,25.0,26.5,9.0,26.48194,0.09671729,2.561262,9.056542,0.2546531,2.306277,0.9004455
786,25.0,26.5,9.5,26.48122,0.1013012,2.682579,9.564738,0.2511528,2.40221,0.8954855
787,25.0,26.5,10.0,26.48043,0.1059071,2.804466,10.06648,0.2479589,2.496072,0.8900347
788,25.0,26.5,10.5,26.48031,0.1105089,2.92631,10.56117,0.244893,2.586356,0.8838285
789,25.0,26.5,11.0,26.47929,0.1151837,3.049983,11.06053,0.2420298,2.676978,0.8777026
790,25.0,26.5,11.5,26.47869,0.1199345,3.17571,11.56213,0.2394266,2.768282,0.8717049
791,25.0,26.5,12.0,26.47803,0.1247967,3.30437,12.07408,0.2370635,2.862324,0.8662238
792,25.0,27.0,8.0,26.9753,0.08841143,2.384925,8.059357,0.2699403,2.175545,0.9122072
793,25.0,27.0,8.5,26.97518,0.09260345,2.497994,8.561467,0.2648182,2.267232,0.9076209
794,25.0,27.0,9.0,26.97374,0.09693846,2.614793,9.057507,0.260673,2.361047,0.9029577
795,25.0,27.0,9.5,26.97256,0.1015063,2.737886,9.565856,0.2570472,2.458877,0.8980933
796,25.0,27.0,10.0,26.97152,0.1060857,2.861293,10.06739,0.2537654,2.554754,0.8928671
797,25.0,27.0,10.5,26.97104,0.1106767,2.985067,10.56204,0.2505992,2.646838,0.8866932
798,25.0,27.0,11.0,26.97025,0.1153583,3.111243,11.06137,0.2477244,2.740171,0.8807319
799,25.0,27.0,11.5,26.96928,0.1200797,3.238464,11.56289,0.2450603,2.833606,0.8749847
800,25.0,27.0,12.0,26.96815,0.1249418,3.36945,12.07505,0.2426363,2.929846,0.8695325
801,25.0,27.5,8.0,27.48909,0.08878194,2.440535,8.06058,0.2767431,2.23071,0.914025
802,25.0,27.5,8.5,27.48877,0.09289613,2.5536,8.562799,0.2712813,2.322927,0.9096677
803,25.0,27.5,9.0,27.48748,0.09719113,2.67154,9.058366,0.2669465,2.418099,0.9051332
804,25.0,27.5,9.5,27.48659,0.1017179,2.79588,9.566709,0.2631805,2.517771,0.9005291
805,25.0,27.5,10.0,27.48635,0.1062976,2.921732,10.06841,0.2597869,2.615641,0.8952365
806,25.0,27.5,10.5,27.48475,0.1108686,3.047194,10.56318,0.2565885,2.71039,0.8894705
807,25.0,27.5,11.0,27.48367,0.1155013,3.174398,11.06223,0.253627,2.80568,0.8838463
808,25.0,27.5,11.5,27.48242,0.1202212,3.303971,11.56398,0.2509224,2.901661,0.8782344
809,25.0,27.5,12.0,27.48184,0.1250805,3.437443,12.07611,0.2484468,3.00027,0.8728202
810,25.0,28.0,8.0,27.98299,0.08916458,2.495092,8.061698,0.2833967,2.284658,0.915661
811,25.0,28.0,8.5,27.98223,0.09321351,2.608322,8.563695,0.2775791,2.377102,0.9113531
812,25.0,28.0,9.0,27.98157,0.09744392,2.726634,9.059349,0.2730223,2.473404,0.9071274
813,25.0,28.0,9.5,27.98082,0.1019376,2.852297,9.56757,0.2691281,2.574902,0.9027469
814,25.0,28.0,10.0,27.98098,0.1064854,2.979567,10.06912,0.265614,2.6745,0.8976138
815,25.0,28.0,10.5,27.97974,0.111035,3.106729,10.56405,0.2623414,2.771389,0.8920599
816,25.0,28.0,11.0,27.97847,0.1156724,3.236338,11.06329,0.2593088,2.868809,0.8864369
817,25.0,28.0,11.5,27.97785,0.1203754,3.367844,11.56494,0.2565456,2.966935,0.8809598
818,25.0,28.0,12.0,27.97737,0.1252144,3.50317,12.07698,0.2540286,3.067898,0.8757491
819,25.0,28.5,8.0,28.48013,0.08954946,2.55038,8.062706,0.2901906,2.339722,0.9174012
820,25.0,28.5,8.5,28.47956,0.09350783,2.663062,8.564601,0.2840053,2.432392,0.9133819
821,25.0,28.5,9.0,28.47922,0.0976932,2.782226,9.060152,0.2791932,2.529532,0.9091756
822,25.0,28.5,9.5,28.47833,0.1021654,2.9095,9.568543,0.2750764,2.63208,0.9046505
823,25.0,28.5,10.0,28.47725,0.1066723,3.037734,10.07024,0.2714942,2.734012,0.9000168
824,25.0,28.5,10.5,28.47663,0.1112135,3.166986,10.56507,0.2681459,2.83298,0.8945351
825,25.0,28.5,11.0,28.47601,0.1158306,3.298394,11.06408,0.2650545,2.932583,0.8890944
826,25.0,28.5,11.5,28.47507,0.120527,3.432013,11.56566,0.2622637,3.033252,0.8838114
827,25.0,28.5,12.0,28.47408,0.1253496,3.569214,12.07774,0.2597111,3.136724,0.8788276
828,25.0,29.0,8.0,28.97696,0.08998498,2.607491,8.063732,0.2971067,2.395789,0.9188102
829,25.0,29.0,8.5,28.97647,0.09385378,2.719551,8.565695,0.2904575,2.48797,0.9148458
830,25.0,29.0,9.0,28.97556,0.09796814,2.838682,9.060891,0.2853659,2.585669,0.9108696
831,25.0,29.0,9.5,28.97526,0.1023878,2.966713,9.568982,0.2811373,2.690197,0.906794
832,25.0,29.0,10.0,28.97465,0.1068717,3.096569,10.07063,0.277443,2.794026,0.9022973
833,25.0,29.0,10.5,28.97422,0.111393,3.227527,10.56571,0.2739492,2.894469,0.896807
834,25.0,29.0,11.0,28.97266,0.1159974,3.360753,11.0645,0.2708051,2.996323,0.891563
835,25.0,29.0,11.5,28.97223,0.1206839,3.496482,11.56623,0.2679667,3.099365,0.886424
836,25.0,29.0,12.0,28.97121,0.1254976,3.635817,12.07833,0.2653615,3.205122,0.8815412
837,25.0,29.5,8.0,29.47285,0.09043874,2.665488,8.064881,0.3041268,2.452747,0.9201868
838,25.0,29.5,8.5,29.47172,0.09419116,2.775975,8.566618,0.2969885,2.544187,0.9165018
839,25.0,29.5,9.0,29.47184,0.09826428,2.89603,9.062057,0.2916362,2.642823,0.9125678
840,25.0,29.5,9.5,29.47147,0.1026341,3.024778,9.570264,0.287168,2.748274,0.908587
841,25.0,29.5,10.0,29.47046,0.1070897,3.155982,10.07183,0.2832932,2.853281,0.9040866
842,25.0,29.5,10.5,29.4698,0.1115737,3.288054,10.56677,0.2798079,2.956667,0.8992149
843,25.0,29.5,11.0,29.46853,0.1161762,3.423542,11.06572,0.2765643,3.060384,0.8939232
844,25.0,29.5,11.5,29.46799,0.1208548,3.561347,11.56733,0.2736699,3.16563,0.8888856
845,25.0,29.5,12.0,29.46755,0.1256317,3.70206,12.07958,0.2709976,3.273537,0.8842474
846,25.0,30.0,8.0,29.98895,0.09093595,2.727074,8.066171,0.3115264,2.512825,0.9214364
847,25.0,30.0,8.5,29.9885,0.09459317,2.836707,8.56799,0.3039575,2.604305,0.9180734
848,25.0,30.0,9.0,29.98815,0.09857003,2.955933,9.062743,0.2981968,2.702481,0.9142566
849,25.0,30.0,9.5,29.98705,0.1029051,3.085819,9.571121,0.2935318,2.809429,0.9104321
850,25.0,30.0,10.0,29.9862,0.1073162,3.218004,10.07275,0.2895265,2.916329,0.9062539
851,25.0,30.0,10.5,29.98578,0.1117805,3.351826,10.56766,0.2858573,3.020842,0.9012525
852,25.0,30.0,11.0,29.98517,0.116357,3.488985,11.06649,0.2825815,3.127185,0.8963021
853,25.0,30.0,11.5,29.98438,0.1210072,3.628327,11.56813,0.2795926,3.234363,0.8914199
854,25.0,30.0,12.0,29.9836,0.125806,3.772117,12.08056,0.2768791,3.344855,0.8867316
855,25.0,30.5,8.0,30.48231,0.09143355,2.787105,8.067354,0.3186724,2.570843,0.9224062
856,25.0,30.5,8.5,30.48128,0.09499029,2.895425,8.569315,0.3106814,2.662327,0.9194943
857,25.0,30.5,9.0,30.4808,0.09888809,3.014188,9.06386,0.3045481,2.760381,0.9157959
858,25.0,30.5,9.5,30.48025,0.1031758,3.144825,9.572108,0.2996175,2.867971,0.9119653
859,25.0,30.5,10.0,30.47913,0.1075542,3.27816,10.07366,0.2954375,2.976136,0.907868
860,25.0,30.5,10.5,30.47866,0.1119847,3.413145,10.56845,0.2917017,3.082835,0.9032242
861,25.0,30.5,11.0,30.47791,0.116538,3.551834,11.06748,0.2883199,3.190974,0.8984016
862,25.0,30.5,11.5,30.47674,0.1211812,3.693208,11.56918,0.2853018,3.300707,0.8937235
863,25.0,30.5,12.0,30.4761,0.1259582,3.838716,12.08141,0.2825215,3.413259,0.8891669
864,25.0,31.0,8.0,30.97814,0.091953,2.848533,8.068635,0.3259903,2.630297,0.9233865
865,25.0,31.0,8.5,30.97721,0.09542859,2.956111,8.570537,0.3175357,2.721452,0.9206188
866,25.0,31.0,9.0,30.97733,0.09921607,3.073449,9.065026,0.3110146,2.819355,0.9173262
867,25.0,31.0,9.5,30.97612,0.103442,3.204232,9.573198,0.305842,2.927886,0.913756
868,25.0,31.0,10.0,30.9761,0.1077896,3.338903,10.07453,0.3015062,3.037534,0.9097403
869,25.0,31.0,10.5,30.97547,0.112203,3.475542,10.56951,0.2976116,3.145608,0.9050697
870,25.0,31.0,11.0,30.97457,0.1167252,3.615511,11.06831,0.2941909,3.256195,0.9006182
871,25.0,31.0,11.5,30.97334,0.1213542,3.758745,11.57,0.2910587,3.367548,0.8959236
872,25.0,31.0,12.0,30.97285,0.1261248,3.906444,12.08226,0.2882442,3.48264,0.8915117
873,25.0,31.5,8.0,31.47568,0.09248448,2.911012,8.069817,0.3333395,2.689988,0.9240733
874,25.0,31.5,8.5,31.47492,0.09587251,3.01758,8.571508,0.3246235,2.782513,0.922101
875,25.0,31.5,9.0,31.47461,0.09958014,3.134246,9.065734,0.3176182,2.879442,0.9187034
876,25.0,31.5,9.5,31.47405,0.103736,3.264992,9.574001,0.3120657,2.987718,0.9150764
877,25.0,31.5,10.0,31.47302,0.1080373,3.400261,10.07537,0.3075503,3.098683,0.9113073
878,25.0,31.5,10.5,31.4721,0.1124177,3.538022,10.5703,0.3035584,3.208704,0.9069203
879,25.0,31.5,11.0,31.47159,0.1169158,3.679528,11.06881,0.2999791,3.320411,0.9024016
880,25.0,31.5,11.5,31.47026,0.1215224,3.824341,11.57067,0.2968253,3.434468,0.8980549
881,25.0,31.5,12.0,31.46956,0.1262719,3.973721,12.08288,0.2939318,3.551544,0.8937578
882,25.0,32.0,8.0,31.97023,0.09301253,2.973633,8.070951,0.3406443,2.749324,0.9245674
883,25.0,32.0,8.5,31.96995,0.09636424,3.08076,8.572774,0.3317117,2.843689,0.923048
884,25.0,32.0,9.0,31.96964,0.09997407,3.196135,9.066742,0.3242129,2.939555,0.9197217
885,25.0,32.0,9.5,31.96901,0.1040329,3.325829,9.574912,0.3183698,3.048363,0.9165723
886,25.0,32.0,10.0,31.96856,0.1082945,3.462019,10.0764,0.3136424,3.160385,0.9128736
887,25.0,32.0,10.5,31.9677,0.112648,3.601099,10.57159,0.3095288,3.272211,0.9086701
888,25.0,32.0,11.0,31.96651,0.1171243,3.744054,11.07006,0.3058423,3.385694,0.9042856
889,25.0,32.0,11.5,31.96596,0.1216996,3.890244,11.5717,0.3025705,3.501255,0.900009
890,25.0,32.0,12.0,31.96503,0.1264444,4.041799,12.08382,0.2996246,3.620609,0.8957915
891,25.0,32.5,8.0,32.48654,0.09357548,3.039944,8.072108,0.3483617,2.812013,0.9250215
892,25.0,32.5,8.5,32.48605,0.09688221,3.14732,8.574035,0.3392176,2.908463,0.924108
893,25.0,32.5,9.0,32.48546,0.1003738,3.260689,9.067923,0.331333,3.004502,0.9214316
894,25.0,32.5,9.5,32.48476,0.10435,3.389785,9.576004,0.3250397,3.112582,0.9182241
895,25.0,32.5,10.0,32.48423,0.108569,3.526781,10.07756,0.320078,3.225605,0.914603
896,25.0,32.5,10.5,32.48398,0.1128726,3.666552,10.57276,0.3157952,3.338827,0.9106178
897,25.0,32.5,11.0,32.48268,0.1173219,3.810929,11.0711,0.3119915,3.454089,0.9063641
898,25.0,32.5,11.5,32.48182,0.1218919,3.959271,11.57285,0.308653,3.571995,0.9021849
899,25.0,32.5,12.0,32.48141,0.1266075,4.112391,12.08467,0.3056357,3.693505,0.8981407
900,25.0,33.0,8.0,32.98198,0.09410404,3.103737,8.073354,0.3557875,2.872398,0.9254643
901,25.0,33.0,8.5,32.98152,0.0973885,3.21202,8.575306,0.3465136,2.97146,0.9251061
902,25.0,33.0,9.0,32.98077,0.100781,3.323836,9.068957,0.3382056,3.067172,0.9227809
903,25.0,33.0,9.5,32.98044,0.1046807,3.452416,9.576893,0.3315617,3.175331,0.9197417
904,25.0,33.0,10.0,32.97981,0.1088239,3.588993,10.07827,0.3263009,3.288548,0.9162871
905,25.0,33.0,10.5,32.97918,0.1131116,3.730327,10.57345,0.3218235,3.402786,0.912195
906,25.0,33.0,11.0,32.97844,0.1175421,3.876356,11.07182,0.317893,3.519653,0.9079797
907,25.0,33.0,11.5,32.97813,0.1220721,4.025711,11.57355,0.3144783,3.639629,0.9040961
908,25.0,33.0,12.0,32.97783,0.126775,4.180764,12.08566,0.3114086,3.763578,0.9002129
909,25.0,33.5,8.0,33.47947,0.09463782,3.168424,8.074534,0.363234,2.932945,0.9256794
910,25.0,33.5,8.5,33.47943,0.09791221,3.278045,8.576701,0.3539084,3.035367,0.9259687
911,25.0,33.5,9.0,33.47896,0.1012297,3.389064,9.070374,0.3452487,3.131535,0.9240116
912,25.0,33.5,9.5,33.47801,0.1050348,3.516356,9.578291,0.3380824,3.238252,0.9209111
913,25.0,33.5,10.0,33.47707,0.109115,3.652852,10.07953,0.3325817,3.352268,0.9177125
914,25.0,33.5,10.5,33.47635,0.1133464,3.794424,10.57485,0.3278933,3.467423,0.9138206
915,25.0,33.5,11.0,33.47522,0.1177383,3.941315,11.07291,0.3238876,3.586377,0.9099444
916,25.0,33.5,11.5,33.47374,0.1222697,4.092823,11.5747,0.3203571,3.708038,0.9059855
917,25.0,33.5,12.0,33.47343,0.1269453,4.249296,12.08676,0.3171672,3.833524,0.9021551
918,25.0,34.0,8.0,33.97646,0.09516852,3.233489,8.075687,0.3706366,2.993146,0.9256705
919,25.0,34.0,8.5,33.97561,0.09844241,3.344641,8.578042,0.3613498,3.099674,0.9267583
920,25.0,34.0,9.0,33.97595,0.1017099,3.45569,9.071298,0.3523761,3.196508,0.9249986
921,25.0,34.0,9.5,33.97564,0.105401,3.581066,9.579319,0.3447511,3.302481,0.922206
922,25.0,34.0,10.0,33.9743,0.1094117,3.717186,10.08026,0.3388345,3.41554,0.9188509
923,25.0,34.0,10.5,33.97356,0.1135978,3.859322,10.57552,0.3340536,3.532791,0.9153917
924,25.0,34.0,11.0,33.97328,0.117962,4.007555,11.0736,0.3298865,3.653032,0.9115364
925,25.0,34.0,11.5,33.97184,0.1224517,4.159909,11.57537,0.3262519,3.776488,0.9078293
926,25.0,34.0,12.0,33.97148,0.1271205,4.31847,12.08752,0.3230039,3.904316,0.9040971
927,25.0,34.5,8.0,34.49028,0.09572856,3.301705,8.076866,0.3783486,3.055871,0.9255434
928,25.0,34.5,8.5,34.49016,0.09901688,3.415108,8.579361,0.3690129,3.165895,0.9270265
929,25.0,34.5,9.0,34.49047,0.1022353,3.526143,9.072454,0.3599121,3.265286,0.9260221
930,25.0,34.5,9.5,34.48928,0.1058058,3.649166,9.580227,0.3518023,3.370345,0.9235933
931,25.0,34.5,10.0,34.48906,0.1097414,3.784877,10.08129,0.3455696,3.483786,0.9204488
932,25.0,34.5,10.5,34.48797,0.1138829,3.927589,10.57701,0.3404729,3.601183,0.9168941
933,25.0,34.5,11.0,34.48769,0.1182066,4.076672,11.07483,0.3361299,3.722581,0.9131421
934,25.0,34.5,11.5,34.48644,0.1226786,4.230749,11.57648,0.3323947,3.847961,0.9095225
935,25.0,34.5,12.0,34.48598,0.1273206,4.390778,12.0885,0.3290251,3.977422,0.905858
936,25.0,35.0,8.0,34.98797,0.09625566,3.36779,8.078091,0.3857223,3.1159,0.925206
937,25.0,35.0,8.5,34.98699,0.09956558,3.4835,8.580772,0.3764685,3.230391,0.9273406
938,25.0,35.0,9.0,34.98711,0.102761,3.595311,9.07363,0.3672131,3.331956,0.9267504
939,25.0,35.0,9.5,34.98623,0.1062429,3.71704,9.581321,0.3587109,3.436924,0.9246402
940,25.0,35.0,10.0,34.986,0.1100759,3.851115,10.08226,0.3520312,3.549272,0.9216219
941,25.0,35.0,10.5,34.98569,0.1141649,3.994137,10.57764,0.346692,3.667183,0.9181415
942,25.0,35.0,11.0,34.98503,0.118453,4.144083,11.07534,0.3422066,3.790053,0.9145697
943,25.0,35.0,11.5,34.9843,0.1228938,4.299352,11.57737,0.3383177,3.916829,0.9110278
944,25.0,35.0,12.0,34.98372,0.1275117,4.460835,12.08949,0.3348784,4.048509,0.9075677
945,30.0,25.0,8.0,24.94543,0.1012586,2.525938,8.061348,0.2858796,2.304575,0.9123641
946,30.0,25.0,8.5,24.94461,0.1067469,2.662761,8.563853,0.2823898,2.418344,0.9082094
947,30.0,25.0,9.0,24.94398,0.1122122,2.799018,9.059562,0.2793702,2.530972,0.9042358
948,30.0,25.0,9.5,24.94302,0.1178725,2.940096,9.568068,0.2765587,2.646132,0.9000155
949,30.0,25.0,10.0,24.94177,0.1234857,3.079953,10.06972,0.273819,2.757281,0.8952346
950,30.0,25.0,10.5,24.94132,0.1290786,3.219392,10.56461,0.2711058,2.864128,0.8896489
951,30.0,25.0,11.0,24.94048,0.1347354,3.360367,11.06369,0.2685891,2.971588,0.8843046
952,30.0,25.0,11.5,24.9395,0.1404386,3.502468,11.56561,0.2662388,3.079213,0.8791553
953,30.0,25.0,12.0,24.93847,0.1462799,3.647997,12.07788,0.2640832,3.189565,0.8743333
954,30.0,25.5,8.0,25.48804,0.1015133,2.587375,8.062744,0.2933718,2.365382,0.9142015
955,30.0,25.5,8.5,25.48688,0.1069674,2.726264,8.565031,0.289782,2.481992,0.9104006
956,30.0,25.5,9.0,25.48598,0.112413,2.864956,9.060805,0.2866313,2.59711,0.9065095
957,30.0,25.5,9.5,25.4848,0.1180737,3.009084,9.569204,0.2837013,2.714796,0.9022
958,30.0,25.5,10.0,25.48392,0.1236798,3.151847,10.07112,0.2809758,2.829742,0.8978045
959,30.0,25.5,10.5,25.48331,0.129245,3.293589,10.56607,0.2782238,2.939732,0.892562
960,30.0,25.5,11.0,25.48249,0.1348849,3.437203,11.06507,0.2756573,3.050168,0.8873984
961,30.0,25.5,11.5,25.48199,0.1405873,3.582444,11.56662,0.2732752,3.16087,0.8823223
962,30.0,25.5,12.0,25.48094,0.1464264,3.731083,12.07891,0.2710596,3.274104,0.877521
963,30.0,26.0,8.0,25.98486,0.1017505,2.643973,8.063763,0.3003073,2.421607,0.9158969
964,30.0,26.0,8.5,25.98377,0.107167,2.784601,8.566159,0.2964821,2.539713,0.9120562
965,30.0,26.0,9.0,25.98273,0.1126009,2.92568,9.061599,0.2932721,2.657514,0.9083408
966,30.0,26.0,9.5,25.98238,0.1182455,3.072299,9.570051,0.2903345,2.778516,0.9043769
967,30.0,26.0,10.0,25.98108,0.1238369,3.217417,10.07168,0.2875205,2.895816,0.9000437
968,30.0,26.0,10.5,25.98058,0.1293987,3.361853,10.56686,0.2847421,3.00883,0.8949914
969,30.0,26.0,11.0,25.97923,0.1350349,3.508102,11.06585,0.2821546,3.12228,0.8900198
970,30.0,26.0,11.5,25.97879,0.1407204,3.655746,11.56746,0.2797412,3.235896,0.8851535
971,30.0,26.0,12.0,25.97768,0.1465536,3.807122,12.07984,0.2774992,3.352146,0.8804935
972,30.0,26.5,8.0,26.48153,0.1019949,2.70098,8.064848,0.3071632,2.477224,0.9171575
973,30.0,26.5,8.5,26.48056,0.1073706,2.843232,8.567134,0.303293,2.598351,0.9138723
974,30.0,26.5,9.0,26.47948,0.1127848,2.986482,9.062616,0.2999576,2.7184,0.9102351
975,30.0,26.5,9.5,26.47871,0.1184114,3.135381,9.571073,0.2969138,2.841784,0.9063597
976,30.0,26.5,10.0,26.47804,0.1239834,3.282839,10.07289,0.2940786,2.962221,0.902335
977,30.0,26.5,10.5,26.47721,0.1295431,3.42994,10.56787,0.2912974,3.078392,0.8975063
978,30.0,26.5,11.0,26.47636,0.1351567,3.578458,11.06662,0.2886626,3.194519,0.8927081
979,30.0,26.5,11.5,26.47505,0.1408505,3.729023,11.56847,0.2861805,3.31067,0.8878117
980,30.0,26.5,12.0,26.47411,0.1466637,3.882792,12.08087,0.2838947,3.429696,0.8833066
981,30.0,27.0,8.0,26.97507,0.1022205,2.757405,8.065842,0.3141044,2.533516,0.9188045
982,30.0,27.0,8.5,26.97454,0.1075895,2.902177,8.568325,0.3100815,2.656879,0.9154779
983,30.0,27.0,9.0,26.97389,0.1129718,3.047289,9.063482,0.3066702,2.7795,0.912122
984,30.0,27.0,9.5,26.97242,0.1185816,3.198432,9.572066,0.3035605,2.905701,0.9084767
985,30.0,27.0,10.0,26.97116,0.1241442,3.348314,10.07362,0.3006569,3.028705,0.9045461
986,30.0,27.0,10.5,26.97029,0.1296877,3.497714,10.56892,0.2978104,3.147533,0.8998829
987,30.0,27.0,11.0,26.96943,0.1352918,3.648742,11.06778,0.2951242,3.266369,0.895204
988,30.0,27.0,11.5,26.96796,0.1409608,3.801425,11.56955,0.2926555,3.385893,0.8906905
989,30.0,27.0,12.0,26.96666,0.1467747,3.958023,12.08172,0.2903502,3.50793,0.8862833
990,30.0,27.5,8.0,27.4898,0.1024686,2.816841,8.066958,0.3214085,2.592789,0.9204597
991,30.0,27.5,8.5,27.48896,0.1077945,2.963158,8.569499,0.3172518,2.718689,0.9174971
992,30.0,27.5,9.0,27.48696,0.1131616,3.110467,9.064515,0.3136494,2.84308,0.9140363
993,30.0,27.5,9.5,27.48635,0.1187434,3.263823,9.572926,0.3104628,2.972037,0.9106002
994,30.0,27.5,10.0,27.48537,0.1243024,3.416497,10.07472,0.3074628,3.097602,0.9066604
995,30.0,27.5,10.5,27.48431,0.1298275,3.568219,10.56992,0.3046371,3.219989,0.9024079
996,30.0,27.5,11.0,27.48319,0.1354301,3.722051,11.06877,0.3018926,3.341579,0.8977789
997,30.0,27.5,11.5,27.48244,0.1411048,3.877904,11.57061,0.2993696,3.46389,0.8932376
998,30.0,27.5,12.0,27.48145,0.1469277,4.037787,12.08299,0.2970717,3.589516,0.8889809
999,30.0,28.0,8.0,27.98361,0.1027505,2.875331,8.06837,0.3284134,2.64976,0.9215496
1000,30.0,28.0,8.5,27.98293,0.1080473,3.023479,8.570859,0.324013,2.77707,0.9185013
1001,30.0,28.0,9.0,27.9818,0.1133733,3.172389,9.065868,0.3203433,2.90419,0.9154584
1002,30.0,28.0,9.5,27.98115,0.118948,3.328302,9.57418,0.3170764,3.035746,0.9121006
1003,30.0,28.0,10.0,27.98009,0.124487,3.483158,10.07588,0.3140597,3.164427,0.9084936
1004,30.0,28.0,10.5,27.97918,0.1300144,3.637697,10.57123,0.3111328,3.289055,0.9041586
1005,30.0,28.0,11.0,27.97841,0.1356036,3.793975,11.06992,0.3083759,3.413696,0.8997676
1006,30.0,28.0,11.5,27.97715,0.1412688,3.952299,11.57174,0.3058307,3.538994,0.8954266
1007,30.0,28.0,12.0,27.97553,0.1470573,4.114005,12.08398,0.303421,3.666534,0.8912323
1008,30.0,28.5,8.0,28.47961,0.1030298,2.934249,8.069487,0.33551,2.707394,0.9226871
1009,30.0,28.5,8.5,28.47916,0.1082875,3.083937,8.572082,0.3309677,2.837082,0.9199544
1010,30.0,28.5,9.0,28.47834,0.1135883,3.234805,9.066835,0.3271406,2.96613,0.9169424
1011,30.0,28.5,9.5,28.47742,0.1191242,3.39235,9.575177,0.3237926,3.100371,0.9139304
1012,30.0,28.5,10.0,28.47645,0.1246697,3.550149,10.0769,0.3206685,3.231345,0.9101999
1013,30.0,28.5,10.5,28.47534,0.1301769,3.706832,10.57222,0.3176995,3.35879,0.906108
1014,30.0,28.5,11.0,28.47493,0.1357508,3.865493,11.07084,0.3148995,3.486203,0.9018779
1015,30.0,28.5,11.5,28.47385,0.1414109,4.026513,11.57274,0.3123419,3.61465,0.8977123
1016,30.0,28.5,12.0,28.47322,0.1472012,4.191293,12.08502,0.3099101,3.745269,0.8935831
1017,30.0,29.0,8.0,28.9768,0.1033269,2.994084,8.070492,0.3426915,2.765689,0.923718
1018,30.0,29.0,8.5,28.97555,0.1085374,3.144931,8.573134,0.3379132,2.896976,0.9211571
1019,30.0,29.0,9.0,28.97481,0.1138044,3.297462,9.067756,0.3339443,3.028126,0.9183202
1020,30.0,29.0,9.5,28.97384,0.1193204,3.457169,9.576193,0.3304647,3.164594,0.9153714
1021,30.0,29.0,10.0,28.97372,0.1248496,3.617358,10.0777,0.3272954,3.298384,0.9118212
1022,30.0,29.0,10.5,28.97244,0.1303518,3.776608,10.57326,0.3242805,3.428701,0.9078784
1023,30.0,29.0,11.0,28.97178,0.1359019,3.937319,11.07178,0.3214508,3.559031,0.9039226
1024,30.0,29.0,11.5,28.97043,0.1415475,4.100693,11.57378,0.3188277,3.690042,0.8998581
