,U_in,I_in,P_in,U_out,I_out,P_out,n
69,27.98605,0.1106618,3.096987,10.52599,0.2620308,2.758133,0.8905859
70,27.98496,0.1153954,3.229336,11.03466,0.2589435,2.857355,0.8848118
71,27.98446,0.1199827,3.357651,11.52526,0.2562765,2.953654,0.8796788
72,28.25356,0.1249877,3.531349,12.04712,0.2567711,3.093352,0.8759689
73,28.48589,0.09244786,2.633459,8.403659,0.2879192,2.419574,0.9187818
74,28.48547,0.09321757,2.655347,8.530711,0.2836373,2.419628,0.9112286
75,28.48502,0.09748418,2.776839,9.035614,0.2787646,2.518809,0.9070778
76,28.48409,0.1018481,2.901052,9.533853,0.2747959,2.619864,0.9030738
77,28.48321,0.1064457,3.031914,10.04574,0.2711147,2.723548,0.8982934
78,28.48273,0.1108667,3.157785,10.52886,0.2678299,2.819943,0.8930128
79,28.4815,0.1155698,3.291603,11.03768,0.2646795,2.921447,0.8875455
80,28.48072,0.1201449,3.421813,11.52658,0.2619329,3.01919,0.8823366
81,28.74978,0.1251464,3.597931,12.0472,0.2624133,3.161345,0.8786564
82,28.98236,0.09128125,2.645546,8.220783,0.2958261,2.431922,0.9192516
83,28.98206,0.09352764,2.710624,8.527024,0.2902127,2.47465,0.912945
84,28.98133,0.09772279,2.832137,9.032314,0.2850332,2.574509,0.9090343
85,28.98094,0.1020469,2.957416,9.530445,0.2808263,2.676399,0.9049792
86,28.97988,0.1065929,3.08905,10.04021,0.2770722,2.781862,0.9005559
87,28.97959,0.1109733,3.21596,10.52219,0.2737016,2.879939,0.8955148
88,28.97901,0.1156878,3.35252,11.03389,0.2704558,2.984179,0.8901303
89,28.97797,0.1202524,3.484669,11.52242,0.2676854,3.084385,0.8851298
90,29.24298,0.125251,3.662713,12.04441,0.2680351,3.228325,0.8814027
91,29.47886,0.09196815,2.711116,8.250538,0.3025969,2.496587,0.9208706
92,29.47826,0.09388075,2.767441,8.52881,0.2967339,2.530787,0.9144862
93,29.47769,0.09799937,2.888795,9.032546,0.2912539,2.630764,0.9106787
94,29.47744,0.1022838,3.015064,9.52971,0.2869506,2.734555,0.9069645
95,29.47677,0.1067947,3.147962,10.03924,0.2830147,2.841252,0.9025688
96,29.47582,0.1111875,3.277342,10.52475,0.2795534,2.942229,0.8977486
97,29.47497,0.1158526,3.414751,11.03182,0.2762343,3.047365,0.8924121
98,29.47424,0.1205989,3.554561,11.54274,0.2732636,3.15421,0.8873697
99,29.75034,0.1254118,3.731045,12.04632,0.273828,3.29862,0.8841008
100,29.99461,0.0923456,2.76987,8.241699,0.3099623,2.554616,0.9222875
101,29.99449,0.0943027,2.828561,8.53196,0.3036771,2.59096,0.9159994
102,29.99385,0.09834965,2.949885,9.035768,0.2978128,2.690967,0.9122279
103,29.99293,0.1025717,3.076427,9.533895,0.2932278,2.795603,0.9087176
104,29.99209,0.1070755,3.211419,10.04545,0.2891409,2.90455,0.9044445
105,29.99187,0.111435,3.342143,10.52942,0.2856006,3.007209,0.8997846
106,29.99084,0.116077,3.481246,11.03713,0.2821923,3.114593,0.8946777
107,29.98989,0.1206226,3.617458,11.52861,0.2792943,3.219877,0.8900936
108,30.25619,0.1255965,3.800072,12.05039,0.2796129,3.369444,0.8866791
109,30.48725,0.09258553,2.822678,8.214242,0.3172388,2.605877,0.9231929
110,30.48671,0.09471937,2.887681,8.53447,0.3103368,2.64856,0.9171927
111,30.48578,0.09867238,3.008104,9.037861,0.3040617,2.748067,0.9135544
112,30.48531,0.1028438,3.135225,9.535685,0.2992896,2.853931,0.9102795
113,30.48434,0.1072982,3.270915,10.04594,0.2950742,2.964298,0.9062594
114,30.48342,0.111639,3.403138,10.53048,0.2913994,3.068575,0.9016897
115,30.48282,0.1162479,3.543563,11.03735,0.2879615,3.178331,0.8969309
116,30.48242,0.1207811,3.681701,11.5276,0.2850025,3.285394,0.8923576
117,30.74911,0.1257273,3.866004,12.04981,0.285282,3.437594,0.8891854
118,30.98313,0.09325519,2.889338,8.237929,0.3243036,2.67159,0.9246376
119,30.98275,0.09512845,2.947341,8.536097,0.3171768,2.707452,0.9186081
120,30.98254,0.09886907,3.063215,9.023652,0.3107235,2.803861,0.9153326
121,30.98191,0.1031788,3.196676,9.542127,0.3054056,2.914218,0.9116402
122,30.98076,0.1074487,3.328842,10.03662,0.301107,3.022095,0.9078519
123,30.97976,0.1119537,3.468299,10.54319,0.2971929,3.133362,0.903429
124,30.97954,0.1164362,3.607139,11.03577,0.2938023,3.242334,0.8988657
125,30.97891,0.1209524,3.746972,11.52792,0.2907627,3.351888,0.8945591
126,31.24239,0.1258665,3.93237,12.04783,0.2909501,3.505316,0.8914003
127,31.48043,0.09408332,2.961784,8.279989,0.3312607,2.742835,0.9260753
128,31.47997,0.09555235,3.007985,8.530244,0.3243188,2.766519,0.9197249
129,31.4799,0.09930532,3.126122,9.03396,0.3171858,2.865444,0.9166129
130,31.47891,0.1033811,3.254324,9.534487,0.3117716,2.972583,0.9134254
131,31.47841,0.1077743,3.392563,10.0479,0.3071228,3.08594,0.9096192
132,31.47759,0.1120833,3.528114,10.53504,0.3031807,3.19402,0.9053051
133,31.47693,0.1166949,3.673196,11.04406,0.2995415,3.308153,0.9006198
134,31.47649,0.1212201,3.815583,11.53757,0.2964408,3.420206,0.8963782
135,31.73591,0.1259778,3.998022,12.04245,0.2966734,3.572675,0.8936108
136,31.97616,0.09454855,3.0233,8.272968,0.3385604,2.800899,0.9264378
137,31.97644,0.09612551,3.073751,8.545115,0.3311972,2.830118,0.9207376
