,set_voltage_in,set_voltage_out,phase,measured_voltage_in,measured_current_in,measured_power_in,measured_voltage_out,measured_current_out,measured_power_out,wirkung
52,27.5,11.5,75.0,26.95535,0.2613474,7.044711,11.60162,0.546982,6.345875,0.9007999
53,27.5,12.0,75.0,26.95299,0.2724289,7.342774,12.11383,0.5453048,6.60573,0.8996232
54,28.0,8.0,75.0,27.97768,0.1860802,5.206094,8.100959,0.5814031,4.709923,0.9046942
55,28.0,8.5,75.0,27.97625,0.1970287,5.512125,8.608079,0.5796407,4.989593,0.9052031
56,28.0,9.0,75.0,27.97433,0.2076424,5.808657,9.099291,0.577929,5.258744,0.9053288
57,28.0,9.5,75.0,27.97289,0.2186214,6.115473,9.607474,0.5762213,5.536032,0.90525
58,28.0,10.0,75.0,27.97085,0.2294712,6.418506,10.109,0.5744768,5.807385,0.9047878
59,28.0,10.5,75.0,27.96865,0.2402291,6.718883,10.60697,0.5727133,6.074752,0.9041312
60,28.0,11.0,75.0,27.96678,0.2509625,7.018613,11.10392,0.5709551,6.339841,0.9032897
61,28.0,11.5,75.0,27.96512,0.2617961,7.321159,11.60545,0.569244,6.606335,0.9023619
62,28.0,12.0,75.0,27.96322,0.2728421,7.629545,12.11721,0.5675461,6.877075,0.9013742
63,28.5,8.0,75.0,27.97758,0.1860638,5.205615,8.100803,0.5813993,4.709801,0.9047541
64,28.5,8.5,75.0,27.97549,0.197031,5.512039,8.608057,0.5796239,4.989435,0.9051887
65,28.5,9.0,75.0,27.97361,0.2076427,5.808515,9.09936,0.5779092,5.258604,0.9053268
66,28.5,9.5,75.0,27.9725,0.2186145,6.115195,9.607515,0.5762044,5.535892,0.9052683
67,28.5,10.0,75.0,27.97028,0.2294582,6.41801,10.10911,0.574476,5.807439,0.904866
68,28.5,10.5,75.0,27.96852,0.2402151,6.718462,10.60705,0.5727041,6.074701,0.9041803
69,28.5,11.0,75.0,27.96666,0.2509637,7.018615,11.10401,0.5709492,6.339823,0.903287
70,28.5,11.5,75.0,27.96454,0.2617922,7.320899,11.6055,0.5692359,6.606267,0.9023848
71,28.5,12.0,75.0,27.96325,0.2728574,7.62998,12.11748,0.5675667,6.877479,0.9013758
72,29.0,8.0,75.0,28.97165,0.1865254,5.403949,8.104564,0.6033588,4.88996,0.9048864
73,29.0,8.5,75.0,28.96948,0.1974861,5.721071,8.611909,0.6015551,5.180538,0.9055188
74,29.0,9.0,75.0,28.96762,0.2080999,6.02816,9.103229,0.5998229,5.460325,0.905803
75,29.0,9.5,75.0,28.9658,0.2190656,6.34541,9.611182,0.5981044,5.74849,0.9059288
76,29.0,10.0,75.0,28.96392,0.2299146,6.659228,10.11282,0.5963675,6.030959,0.9056543
77,29.0,10.5,75.0,28.96183,0.2406561,6.969842,10.61053,0.5946251,6.309285,0.9052265
78,29.0,11.0,75.0,28.9604,0.2513974,7.280571,11.10771,0.5928524,6.585232,0.9044939
79,29.0,11.5,75.0,28.95825,0.2622222,7.593494,11.60895,0.5911394,6.862506,0.903735
80,29.0,12.0,75.0,28.95638,0.2732985,7.913735,12.12094,0.589452,7.144714,0.9028246
81,29.5,8.0,75.0,28.97053,0.1865274,5.403798,8.104451,0.6033215,4.88959,0.9048432
82,29.5,8.5,75.0,28.96885,0.19748,5.720768,8.612,0.601554,5.180583,0.9055746
83,29.5,9.0,75.0,28.96716,0.2080933,6.027872,9.1032,0.5998393,5.460457,0.9058681
84,29.5,9.5,75.0,28.96521,0.2190491,6.344802,9.610994,0.5980991,5.748327,0.9059899
85,29.5,10.0,75.0,28.96364,0.2298928,6.658532,10.11266,0.5963885,6.031076,0.9057667
86,29.5,10.5,75.0,28.96212,0.240653,6.96982,10.61054,0.5946198,6.309237,0.9052222
87,29.5,11.0,75.0,28.96035,0.2513916,7.280386,11.10795,0.5928759,6.585633,0.9045719
88,29.5,11.5,75.0,28.95868,0.2622117,7.593304,11.60884,0.5911545,6.862619,0.9037725
89,29.5,12.0,75.0,28.95706,0.2732691,7.913069,12.12095,0.5894821,7.14508,0.9029468
90,30.0,8.0,75.0,29.9826,0.1869494,5.605229,8.107996,0.6256379,5.07267,0.9049888
91,30.0,8.5,75.0,29.98107,0.1979037,5.933365,8.615657,0.6238607,5.374969,0.9058889
92,30.0,9.0,75.0,29.97893,0.208527,6.251417,9.107009,0.622112,5.665579,0.9062873
93,30.0,9.5,75.0,29.9774,0.2194779,6.579379,9.614535,0.6203836,5.9647,0.906575
94,30.0,10.0,75.0,29.97554,0.230321,6.903998,10.11633,0.6186618,6.258584,0.9065159
95,30.0,10.5,75.0,29.97326,0.2410679,7.225593,10.61404,0.6168937,6.547732,0.9061862
96,30.0,11.0,75.0,29.97201,0.2518379,7.548088,11.11169,0.6151658,6.835532,0.9055978
97,30.0,11.5,75.0,29.97017,0.2626427,7.871445,11.61248,0.6134449,7.123613,0.9049944
98,30.0,12.0,75.0,29.96862,0.2737118,8.202766,12.12455,0.6117709,7.417445,0.9042614
99,30.5,8.0,75.0,29.98273,0.1869523,5.60534,8.108129,0.6256365,5.072741,0.9049836
100,30.5,8.5,75.0,29.98096,0.1979264,5.934025,8.615866,0.6238439,5.374955,0.9057857
101,30.5,9.0,75.0,29.97899,0.2085346,6.251656,9.107431,0.622137,5.66607,0.9063311
102,30.5,9.5,75.0,29.9775,0.2194941,6.579885,9.614691,0.6204179,5.965126,0.90657
103,30.5,10.0,75.0,29.97613,0.2303376,6.90463,10.11658,0.6186892,6.259022,0.9064962
104,30.5,10.5,75.0,29.97351,0.2410809,7.226041,10.61443,0.6169026,6.54807,0.9061767
105,30.5,11.0,75.0,29.97225,0.2518306,7.547929,11.11193,0.6151761,6.835796,0.9056519
106,30.5,11.5,75.0,29.97041,0.2626472,7.871644,11.61262,0.6134436,7.123688,0.904981
107,30.5,12.0,75.0,29.96846,0.2737118,8.20272,12.12484,0.6117367,7.417207,0.9042375
108,31.0,8.0,75.0,30.97145,0.1865586,5.777988,8.07259,0.6495621,5.243648,0.9075214
109,31.0,8.5,75.0,30.96991,0.1975196,6.117164,8.580686,0.6478024,5.558589,0.9086871
110,31.0,9.0,75.0,30.96759,0.2081452,6.445755,9.072533,0.6460407,5.861225,0.9093155
111,31.0,9.5,75.0,30.96567,0.2190919,6.784328,9.579629,0.6442735,6.171901,0.9097292
112,31.0,10.0,75.0,30.96345,0.2299336,7.119537,10.08126,0.6426,6.478217,0.9099211
113,31.0,10.5,75.0,30.96203,0.2406823,7.452013,10.57903,0.6408505,6.779579,0.9097647
114,31.0,11.0,75.0,30.96065,0.2514451,7.784905,11.0772,0.638999,7.078318,0.9092363
115,31.0,11.5,75.0,30.95866,0.2622283,8.118236,11.57763,0.6373873,7.379436,0.908995
116,31.0,12.0,75.0,30.95751,0.2733016,8.460736,12.09017,0.6356124,7.684662,0.9082735
117,31.5,8.0,75.0,30.97105,0.1865432,5.777439,8.072684,0.6495311,5.243459,0.907575
118,31.5,8.5,75.0,30.96902,0.1975252,6.117163,8.580848,0.647788,5.55857,0.9086845
119,31.5,9.0,75.0,30.96783,0.2081414,6.445688,9.072545,0.6460917,5.861696,0.909398
120,31.5,9.5,75.0,30.96593,0.2190729,6.783795,9.579443,0.6443065,6.172098,0.9098296
121,31.5,10.0,75.0,30.96445,0.2299212,7.119383,10.08155,0.6425738,6.47814,0.9099299
122,31.5,10.5,75.0,30.96255,0.2406776,7.451991,10.57914,0.6408497,6.779636,0.9097751
123,31.5,11.0,75.0,30.96079,0.2514361,7.784659,11.07715,0.639024,7.078563,0.9092964
124,31.5,11.5,75.0,30.95849,0.2622247,8.118082,11.5777,0.6373653,7.379228,0.9089866
125,31.5,12.0,75.0,30.95668,0.2732937,8.460266,12.09008,0.6356925,7.685574,0.9084318
126,32.0,8.0,75.0,31.96394,0.186948,5.975595,8.075109,0.6714443,5.421986,0.907355
127,32.0,8.5,75.0,31.96228,0.1979112,6.325692,8.583018,0.6696654,5.74775,0.9086359
128,32.0,9.0,75.0,31.96011,0.2085399,6.66496,9.075285,0.667815,6.060612,0.9093245
129,32.0,9.5,75.0,31.95836,0.2194804,7.014234,9.581811,0.6661921,6.383327,0.9100532
130,32.0,10.0,75.0,31.95648,0.2303125,7.359976,10.08367,0.6644443,6.700039,0.9103343
131,32.0,10.5,75.0,31.95497,0.2410694,7.703365,10.58114,0.6626951,7.012067,0.9102603
132,32.0,11.0,75.0,31.95351,0.2518376,8.047095,11.0797,0.6608917,7.322482,0.9099534
133,32.0,11.5,75.0,31.95121,0.2626478,8.391916,11.57979,0.6592245,7.633681,0.9096469
134,32.0,12.0,75.0,31.94981,0.2737094,8.744966,12.09228,0.657475,7.950369,0.9091367
135,32.5,8.0,75.0,31.96399,0.1869483,5.975614,8.074791,0.6714172,5.421554,0.9072798
136,32.5,8.5,75.0,31.96195,0.1979064,6.325475,8.582894,0.669612,5.747209,0.9085814
137,32.5,9.0,75.0,31.96031,0.2085477,6.665247,9.07532,0.6679313,6.061691,0.9094473
138,32.5,9.5,75.0,31.95885,0.2194773,7.014243,9.58161,0.6662298,6.383554,0.9100845
139,32.5,10.0,75.0,31.95677,0.2303285,7.360556,10.08356,0.6644532,6.700052,0.9102644
140,32.5,10.5,75.0,31.95478,0.2410547,7.70285,10.58104,0.6627063,7.012122,0.9103281
141,32.5,11.0,75.0,31.95293,0.2518302,8.046711,11.07959,0.6610144,7.323767,0.9101565
142,32.5,11.5,75.0,31.95113,0.2626332,8.391428,11.57958,0.6592018,7.633281,0.9096523
143,32.5,12.0,75.0,31.9498,0.2736941,8.744473,12.09228,0.6575251,7.950977,0.9092575
144,33.0,8.0,75.0,32.97553,0.1873658,6.178487,8.077001,0.6937295,5.603254,0.9068974
145,33.0,8.5,75.0,32.97376,0.198331,6.539718,8.585243,0.6919557,5.940609,0.908389
146,33.0,9.0,75.0,32.97182,0.2089641,6.889928,9.077847,0.6901851,6.265395,0.9093556
147,33.0,9.5,75.0,32.96954,0.2198858,7.249535,9.583667,0.6884547,6.597921,0.9101164
148,33.0,10.0,75.0,32.96808,0.2307249,7.606559,10.08564,0.6867531,6.926342,0.9105749
149,33.0,10.5,75.0,32.96602,0.2414653,7.96015,10.58313,0.685024,7.249701,0.9107493
150,33.0,11.0,75.0,32.96459,0.2522441,8.315122,11.08223,0.6832798,7.572262,0.9106616
151,33.0,11.5,75.0,32.96244,0.263033,8.670211,11.582,0.6815179,7.89334,0.9103977
