,set_voltage_in,set_voltage_out,phase,measured_voltage_in,measured_current_in,measured_power_in,measured_voltage_out,measured_current_out,measured_power_out,wirkung
0,25.0,8.0,60.0,24.93335,0.1669454,4.162508,8.083703,0.4692773,3.793498,0.9113491
1,25.0,8.5,60.0,24.93098,0.1767522,4.406604,8.589006,0.4672885,4.013544,0.9108019
2,25.0,9.0,60.0,24.92959,0.1863198,4.644875,9.080946,0.465396,4.226236,0.9098709
3,25.0,9.5,60.0,24.92851,0.1962224,4.891532,9.590071,0.4635252,4.44524,0.9087622
4,25.0,10.0,60.0,24.92684,0.205979,5.134406,10.09162,0.4616437,4.658731,0.9073555
5,25.0,10.5,60.0,24.92474,0.2156556,5.375159,10.58912,0.4597327,4.868163,0.9056779
6,25.0,11.0,60.0,24.92351,0.225319,5.615739,11.08544,0.4578392,5.075349,0.9037722
7,25.0,11.5,60.0,24.92203,0.2351019,5.859216,11.5881,0.4560112,5.284306,0.9018794
8,25.0,12.0,60.0,24.92031,0.2450638,6.107067,12.09957,0.4542317,5.496007,0.8999422
9,25.5,8.0,60.0,24.93246,0.1669327,4.162041,8.083174,0.4692666,3.793163,0.9113709
10,25.5,8.5,60.0,24.93135,0.1767307,4.406135,8.588407,0.4673137,4.01348,0.9108845
11,25.5,9.0,60.0,24.93,0.1863078,4.644654,9.080646,0.4653946,4.226084,0.9098812
12,25.5,9.5,60.0,24.92775,0.1962069,4.890997,9.589766,0.463499,4.444847,0.9087815
13,25.5,10.0,60.0,24.9259,0.2059609,5.133761,10.09123,0.4616073,4.658184,0.9073627
14,25.5,10.5,60.0,24.92472,0.2156444,5.374877,10.58869,0.4597281,4.867917,0.9056796
15,25.5,11.0,60.0,24.92338,0.2253221,5.615787,11.0851,0.457822,5.075002,0.9037027
16,25.5,11.5,60.0,24.92207,0.2351036,5.85927,11.58786,0.4559994,5.284059,0.9018289
17,25.5,12.0,60.0,24.92016,0.245067,6.107109,12.09946,0.4542086,5.495678,0.8998822
18,26.0,8.0,60.0,25.97164,0.1673379,4.346039,8.086528,0.4904164,3.965766,0.9125012
19,26.0,8.5,60.0,25.97006,0.1771617,4.6009,8.592221,0.488406,4.196493,0.9121026
20,26.0,9.0,60.0,25.96852,0.1867311,4.849129,9.084064,0.4864634,4.419065,0.911311
21,26.0,9.5,60.0,25.96671,0.1966216,5.105615,9.593291,0.4845825,4.648741,0.9105154
22,26.0,10.0,60.0,25.96539,0.2063637,5.358315,10.09468,0.4826818,4.87252,0.9093381
23,26.0,10.5,60.0,25.96387,0.2160382,5.609186,10.59233,0.4807865,5.092649,0.9079123
24,26.0,11.0,60.0,25.96218,0.2256929,5.85948,11.08844,0.478886,5.310097,0.9062403
25,26.0,11.5,60.0,25.96044,0.235471,6.11293,11.59123,0.4770519,5.529616,0.9045771
26,26.0,12.0,60.0,25.9587,0.2454355,6.371187,12.10276,0.4752562,5.751911,0.9028005
27,26.5,8.0,60.0,25.97131,0.167321,4.345546,8.086436,0.4904183,3.965736,0.9125979
28,26.5,8.5,60.0,25.96986,0.1771475,4.600497,8.592178,0.4884219,4.196609,0.9122077
29,26.5,9.0,60.0,25.96848,0.186711,4.848602,9.084061,0.4865101,4.419487,0.9114972
30,26.5,9.5,60.0,25.96697,0.1966057,5.105254,9.593083,0.4846117,4.648921,0.910615
31,26.5,10.0,60.0,25.96485,0.2063596,5.358096,10.09456,0.482689,4.872535,0.909378
32,26.5,10.5,60.0,25.9638,0.2160377,5.609158,10.59228,0.4807939,5.092704,0.9079267
33,26.5,11.0,60.0,25.96228,0.2256998,5.85968,11.08846,0.478881,5.310052,0.9062017
34,26.5,11.5,60.0,25.96023,0.2354858,6.113266,11.59112,0.4770478,5.529518,0.9045114
35,26.5,12.0,60.0,25.95881,0.2454345,6.371188,12.10284,0.4752546,5.751931,0.9028035
36,27.0,8.0,60.0,26.96923,0.1677273,4.523475,8.08979,0.5106172,4.130786,0.9131886
37,27.0,8.5,60.0,26.96866,0.1775525,4.788353,8.595829,0.5085885,4.37174,0.9129944
38,27.0,9.0,60.0,26.9671,0.1870954,5.04542,9.08742,0.5066301,4.60396,0.9125028
39,27.0,9.5,60.0,26.96514,0.1969849,5.311724,9.596377,0.5047287,4.843567,0.9118634
40,27.0,10.0,60.0,26.96368,0.2067391,5.574447,10.09778,0.5028314,5.077479,0.910849
41,27.0,10.5,60.0,26.96194,0.2164267,5.835281,10.59552,0.5009395,5.307714,0.9095901
42,27.0,11.0,60.0,26.96021,0.226077,6.095083,11.09198,0.4990264,5.535191,0.9081403
43,27.0,11.5,60.0,26.95812,0.2358502,6.358078,11.59446,0.4971806,5.764543,0.9066486
44,27.0,12.0,60.0,26.95704,0.2458137,6.62641,12.10604,0.4953853,5.997155,0.9050382
45,27.5,8.0,60.0,26.96937,0.1677319,4.523624,8.089997,0.5106224,4.130934,0.9131913
46,27.5,8.5,60.0,26.96758,0.1775515,4.788134,8.595973,0.5085785,4.371727,0.9130335
47,27.5,9.0,60.0,26.96564,0.1871111,5.045571,9.087482,0.5066551,4.604219,0.9125269
48,27.5,9.5,60.0,26.96401,0.1969834,5.311461,9.596466,0.504759,4.843902,0.9119717
49,27.5,10.0,60.0,26.96212,0.2067443,5.574264,10.09782,0.5028034,5.077216,0.9108317
50,27.5,10.5,60.0,26.9602,0.2164148,5.834588,10.59559,0.5009192,5.307535,0.9096675
51,27.5,11.0,60.0,26.95878,0.2260788,6.094809,11.09191,0.4990113,5.534989,0.9081481
52,27.5,11.5,60.0,26.95708,0.2358506,6.357841,11.59441,0.4971735,5.764434,0.9066652
53,27.5,12.0,60.0,26.95572,0.2458124,6.62605,12.10623,0.495383,5.99722,0.9050972
54,28.0,8.0,60.0,27.97951,0.1681337,4.704298,8.09319,0.5312027,4.299125,0.9138716
55,28.0,8.5,60.0,27.97782,0.1779653,4.97908,8.59965,0.5291547,4.550545,0.913933
56,28.0,9.0,60.0,27.97597,0.1875063,5.245672,9.091005,0.5271916,4.792701,0.9136487
57,28.0,9.5,60.0,27.97406,0.1973968,5.52199,9.599848,0.5252931,5.042734,0.9132095
58,28.0,10.0,60.0,27.97232,0.2071358,5.79407,10.10119,0.5233536,5.286495,0.9123974
59,28.0,10.5,60.0,27.97128,0.2168168,6.064641,10.59923,0.5214472,5.526938,0.911338
60,28.0,11.0,60.0,27.9701,0.2264572,6.33403,11.09529,0.5195479,5.764533,0.9100893
61,28.0,11.5,60.0,27.96815,0.2362345,6.607041,11.59774,0.5176992,6.004141,0.9087488
62,28.0,12.0,60.0,27.96599,0.2461944,6.885071,12.10947,0.515901,6.247287,0.9073671
