,set_voltage_in,set_voltage_out,phase,measured_voltage_in,measured_current_in,measured_power_in,measured_voltage_out,measured_current_out,measured_power_out,wirkung
0,25.0,8.0,110.0,24.95386,0.03280212,0.8185396,2.868188,2.076354,5.955375,7.275611
1,25.0,8.5,110.0,24.93348,0.03279764,0.8177593,2.865938,2.076346,5.950678,7.276809
2,25.0,9.0,110.0,24.93346,0.03282256,0.81838,2.862545,2.076104,5.942941,7.261836
3,25.0,9.5,110.0,24.93407,0.0328416,0.8188749,2.865032,2.075726,5.94702,7.262428
4,25.0,10.0,110.0,24.93357,0.03286209,0.8193694,2.864537,2.075774,5.946132,7.25696
