,set_voltage_in,set_voltage_out,phase,measured_voltage_in,measured_current_in,measured_power_in,measured_voltage_out,measured_current_out,measured_power_out,wirkung
0,25.0,8.0,5.0,24.94586,0.08740048,2.18028,8.047651,0.2434337,1.95907,0.8985403
1,25.0,8.5,5.0,24.9423,0.02279009,0.5684373,8.540775,0.04087865,0.3491353,0.614202
2,25.0,9.0,5.0,24.94328,0.02149485,0.5361519,9.030871,0.03240332,0.2926303,0.5457972
3,25.0,9.5,5.0,24.94374,0.02064766,0.5150297,9.535065,0.02657191,0.2533649,0.4919422
4,25.0,10.0,5.0,24.94355,0.02020494,0.503983,10.03083,0.02144988,0.2151601,0.4269192
5,25.0,10.5,5.0,24.94404,0.01990712,0.4965641,10.5252,0.0170533,0.1794894,0.3614627
6,25.0,11.0,5.0,24.9444,0.0196749,0.4907785,11.02177,0.01309586,0.1443396,0.2941033
7,25.0,11.5,5.0,24.94438,0.01951052,0.486678,11.52264,0.0104312,0.120195,0.2469702
8,25.0,12.0,5.0,24.94473,0.01941093,0.4842004,12.02731,0.009558621,0.1149645,0.2374316
9,25.5,8.0,5.0,24.94054,0.02428973,0.6057988,8.04211,0.05010419,0.4029435,0.665144
10,25.5,8.5,5.0,24.94139,0.02279025,0.5684206,8.540432,0.04083324,0.3487335,0.6135132
11,25.5,9.0,5.0,24.94228,0.02149181,0.5360547,9.03074,0.03246496,0.2931826,0.5469266
12,25.5,9.5,5.0,24.94297,0.02064433,0.5149308,9.534878,0.02651518,0.252819,0.4909767
13,25.5,10.0,5.0,24.94314,0.0202033,0.5039338,10.03067,0.02157893,0.2164512,0.4295231
14,25.5,10.5,5.0,24.94371,0.01990266,0.4964463,10.52525,0.01714725,0.1804791,0.363542
15,25.5,11.0,5.0,24.94438,0.01967103,0.4906817,11.02174,0.01314499,0.1448806,0.2952639
16,25.5,11.5,5.0,24.94386,0.01951031,0.4866625,11.52248,0.01054639,0.1215206,0.249702
17,25.5,12.0,5.0,24.94422,0.01941146,0.4842038,12.02707,0.009611486,0.115598,0.2387383
18,26.0,8.0,5.0,25.97824,0.02599897,0.6754074,8.048621,0.05792422,0.4662101,0.690265
19,26.0,8.5,5.0,25.97975,0.02448568,0.6361317,8.546561,0.04850042,0.4145118,0.6516132
20,26.0,9.0,5.0,25.98051,0.02299229,0.5973516,9.036372,0.03930487,0.3551734,0.5945802
21,26.0,9.5,5.0,25.98137,0.02178106,0.5659016,9.539457,0.03148694,0.3003683,0.5307783
22,26.0,10.0,5.0,25.98213,0.02109715,0.5481489,10.03423,0.02554398,0.2563143,0.4675997
23,26.0,10.5,5.0,25.98253,0.02071349,0.5381888,10.52831,0.02059929,0.2168757,0.4029732
24,26.0,11.0,5.0,25.98342,0.02044144,0.5311385,11.02452,0.01615249,0.1780735,0.3352675
25,26.0,11.5,5.0,25.98286,0.02022419,0.5254823,11.525,0.01320257,0.1521596,0.2895617
26,26.0,12.0,5.0,25.98205,0.02008246,0.5217836,12.02952,0.01164658,0.1401028,0.2685074
27,26.5,8.0,5.0,25.97847,0.02600016,0.6754445,8.048377,0.05790815,0.4660666,0.6900147
28,26.5,8.5,5.0,25.98001,0.02448675,0.6361661,8.546676,0.04846174,0.4141868,0.6510671
29,26.5,9.0,5.0,25.98066,0.02299339,0.5973835,9.036298,0.03922666,0.3544638,0.5933605
30,26.5,9.5,5.0,25.98168,0.02178253,0.5659468,9.539233,0.03144569,0.2999677,0.5300282
31,26.5,10.0,5.0,25.98244,0.02109847,0.5481897,10.03428,0.02545818,0.2554546,0.4659967
32,26.5,10.5,5.0,25.98306,0.02071249,0.5381737,10.52823,0.02055865,0.2164463,0.4021866
33,26.5,11.0,5.0,25.98299,0.0204422,0.5311495,11.02442,0.01614952,0.1780391,0.3351958
34,26.5,11.5,5.0,25.98298,0.02022203,0.5254286,11.52498,0.01323134,0.1524909,0.290222
35,26.5,12.0,5.0,25.98271,0.02008188,0.5217817,12.02977,0.01175381,0.1413956,0.2709861
36,27.0,8.0,5.0,26.97472,0.02760493,0.7446353,8.054374,0.0652652,0.5256703,0.7059433
37,27.0,8.5,5.0,26.97666,0.02614589,0.7053288,8.552579,0.0559381,0.478415,0.6782865
38,27.0,9.0,5.0,26.97829,0.02459504,0.6635322,9.042081,0.04646309,0.4201231,0.6331615
39,27.0,9.5,5.0,26.97892,0.02310551,0.6233618,9.544181,0.03759649,0.3588277,0.5756332
40,27.0,10.0,5.0,26.98017,0.02208406,0.5958315,10.03806,0.02998273,0.3009685,0.5051234
41,27.0,10.5,5.0,26.97964,0.02153553,0.5810206,10.53129,0.02428598,0.2557626,0.4401954
42,27.0,11.0,5.0,26.9794,0.02119193,0.5717455,11.02723,0.01952633,0.2153214,0.3766036
43,27.0,11.5,5.0,26.97949,0.02094159,0.5649934,11.52745,0.01609976,0.1855891,0.3284802
44,27.0,12.0,5.0,26.97954,0.02075246,0.5598916,12.03209,0.01394457,0.1677824,0.2996694
45,27.5,8.0,5.0,26.97391,0.02760382,0.7445828,8.054488,0.06528547,0.525841,0.7062224
46,27.5,8.5,5.0,26.97546,0.02614804,0.7053554,8.552559,0.0560186,0.4791024,0.6792355
47,27.5,9.0,5.0,26.97646,0.02459265,0.6634225,9.04221,0.04655762,0.4209837,0.6345635
48,27.5,9.5,5.0,26.97773,0.02310367,0.6232846,9.544412,0.03742526,0.3572021,0.5730963
49,27.5,10.0,5.0,26.97798,0.02208401,0.595782,10.03831,0.03006878,0.3018397,0.5066278
50,27.5,10.5,5.0,26.97801,0.02153382,0.5809396,10.53153,0.02431369,0.2560603,0.4407693
51,27.5,11.0,5.0,26.97904,0.02118987,0.5716823,11.0275,0.0194729,0.2147374,0.3756237
52,27.5,11.5,5.0,26.97804,0.02094039,0.5649306,11.52758,0.01605162,0.1850363,0.3275381
53,27.5,12.0,5.0,26.97804,0.02075055,0.5598092,12.03201,0.01392609,0.1675588,0.2993142
54,28.0,8.0,5.0,27.98284,0.02914333,0.8155131,8.060344,0.07245483,0.5840108,0.7161269
55,28.0,8.5,5.0,27.98482,0.02783494,0.7789558,8.558817,0.06366978,0.544938,0.6995749
56,28.0,9.0,5.0,27.98516,0.0262908,0.7357524,9.048434,0.05418232,0.4902652,0.6663454
57,28.0,9.5,5.0,27.98666,0.02466862,0.6903921,9.550061,0.04447535,0.4247423,0.6152189
58,28.0,10.0,5.0,27.98786,0.02330085,0.6521408,10.04283,0.03559681,0.3574928,0.5481835
59,28.0,10.5,5.0,27.98787,0.02245617,0.6285004,10.53519,0.02860431,0.3013518,0.4794776
60,28.0,11.0,5.0,27.98876,0.02199735,0.6156786,11.03048,0.02325939,0.2565623,0.4167147
61,28.0,11.5,5.0,27.9889,0.02169069,0.6070983,11.53042,0.01922446,0.2216662,0.365124
62,28.0,12.0,5.0,27.98823,0.02146335,0.6007212,12.03469,0.01655185,0.1991963,0.3315952
63,28.5,8.0,5.0,27.98296,0.02914343,0.8155196,8.060627,0.0724827,0.584256,0.7164218
64,28.5,8.5,5.0,27.98426,0.02783623,0.7789764,8.55882,0.06364958,0.5447653,0.6993347
65,28.5,9.0,5.0,27.98465,0.02629221,0.7357783,9.048502,0.05409279,0.4894587,0.6652258
66,28.5,9.5,5.0,27.98667,0.02466891,0.6904007,9.550394,0.0444294,0.4243182,0.614597
67,28.5,10.0,5.0,27.98774,0.02330203,0.6521711,10.04339,0.03570792,0.3586287,0.5498998
